quarter,n,bill_calibrated_prevalence
2019Q1,1258,0.0
2019Q2,1737,0.0
2019Q3,1167,0.0
2019Q4,1382,0.0
2020Q1,1181,0.0
2020Q2,758,0.0
2020Q3,894,0.0
2020Q4,965,0.0
2021Q1,942,0.0
2021Q2,1190,0.0
2021Q3,971,0.0002686607262794967
2021Q4,1111,0.0
2022Q1,1076,0.0
2022Q2,1045,0.0
2022Q3,1098,0.0
2022Q4,1084,0.0
2023Q1,872,0.0
2023Q2,1144,0.0
2023Q3,966,0.000300540973752755
2023Q4,1213,0.0
2024Q1,1021,0.0007790935802688986
2024Q2,1400,0.0
2024Q3,1002,0.0
2024Q4,1141,0.003926854687057408
2025Q1,825,0.006065715066097574
2025Q2,1283,0.004928476477069088
2025Q3,925,0.007044487675623721
2025Q4,1028,0.006328054330070799
2026Q1,870,0.00685452164511022
2026Q2,1074,0.009249121625421313
2026Q3,495,0.004713441459584518
