package_id,block_type,congress,bill_type,bill_num,action_date,n_words,text_sha,score,score_max,n_chunks,scored_words,top_bucket,month,post,pre,dup_group,is_first_appearance,recycled_from_pre,origin_chamber,introduced_date,policy_area,sponsor_bioguide,sponsor_party,sponsor_state,public_law_number,n_cosponsors,n_cosponsors_opposite,n_cosponsors_orig,n_cosponsors_opposite_orig,bipartisan_share,bipartisan_share_orig,is_bipartisan,is_bipartisan_orig,reported_all,passed_house_all,passed_senate_all,presented_all,became_law_all,max_stage_all,reported_12m,passed_house_12m,passed_senate_12m,presented_12m,became_law_12m,max_stage_12m,chamber_majority,sponsor_in_majority,max_stage_possible,stage_frac_all,succeeded_all,stage_frac_12m,succeeded_12m,n_actions,window_complete,commem,bioguide,freshman,birth_year,member_age,gender,n_terms,born_after_1980,topic_international_affairs,topic_health,topic_armed_forces_and_national_secu,topic_crime_and_law_enforcement,topic_government_operations_and_poli,topic_education,"topic_civil_rights_and_liberties,_mi",topic_public_lands_and_natural_resou,"topic_science,_technology,_communica",topic_immigration,topic_environmental_protection,topic_congress,topic_finance_and_financial_sector,topic_labor_and_employment,topic_transportation_and_public_work,sen_pct,is_house,office_capacity,high_capacity,senior_majority,is_freshman,is_republican,is_resolution,ln_words,ln_cosponsors,is_119,is_likely_ai
BILLS-119hconres107ih,preamble,119,hconres,107,2026-05-29,280,d6f700ecac3d9941da8f6ca20730ec50,0.36646,0.36646,1,271,1,2026-05,True,False,208dcb41d9b469fd27d71a3d,True,False,House,2026-05-29,Crime and Law Enforcement,M001241,D,CA,,21,0,20,0,0.0,0.0,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,3,0.0,False,0.0,False,4,False,True,M001241,True,1976.0,50.0,M,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0596113445378151,1.0,0.023844537815126,0.0,0.0,1.0,0.0,1.0,5.634789603169249,3.091042453358316,1.0,1.0
BILLS-119hconres10ih,findings,119,hconres,10,2025-02-10,204,d7355d0d1426a1d83ae1fdf4071246c1,0.4007599999999999,0.40076,1,191,1,2025-02,True,False,3de9c287630210dc5a1a27e1,True,False,House,2025-02-10,Economics and Public Finance,H001052,R,MD,,10,0,10,0,0.0,0.0,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,1.0,3,0.0,False,0.0,False,4,True,False,H001052,False,1957.0,69.0,M,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7943802521008403,1.0,0.6177521008403362,1.0,0.7943802521008403,0.0,1.0,1.0,5.318119993844216,2.3978952727983707,1.0,1.0
BILLS-119hconres111ih,preamble,119,hconres,111,2026-06-30,463,a8bbd55a56180d9abe7c5caa5463a062,0.4892524836601307,0.5665,2,459,1,2026-06,True,False,bb623d3ba2e7a937d3399fa4,True,False,House,2026-06-30,Congress,S000250,R,TX,,0,0,0,0,0.0,,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,1.0,3,0.0,False,0.0,False,16,False,True,S000250,False,1955.0,71.0,M,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9248949579831932,1.0,0.6699579831932774,1.0,0.9248949579831932,0.0,1.0,1.0,6.137727054086234,0.0,1.0,1.0
BILLS-119hconres112ih,preamble,119,hconres,112,2026-07-15,596,efea3382ee7f6c26c10add99d59a1653,0.0924077892918825,0.12259,2,579,0,2026-07,True,False,100a76866f4ad7ed2c431205,True,False,House,2026-07-15,"Civil Rights and Liberties, Minority Issues",H001081,D,CT,,13,0,12,0,0.0,0.0,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,3,0.0,False,0.0,False,12,False,True,H001081,False,1973.0,53.0,F,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4548319327731092,1.0,0.1819327731092437,0.0,0.0,0.0,0.0,1.0,6.39024066706535,2.6390573296152584,1.0,0.0
BILLS-119hconres114ih,preamble,119,hconres,114,2026-07-21,924,abca4202c8c25de655442259620c1041,0.198467138047138,0.32637,3,891,1,2026-07,True,False,fe1a1345a881a17b338661a8,True,False,House,2026-07-21,Labor and Employment,A000370,D,NC,,78,0,75,0,0.0,0.0,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,3,0.0,False,0.0,False,4,False,True,A000370,False,1946.0,80.0,F,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7373949579831933,1.0,0.2949579831932773,0.0,0.0,0.0,0.0,1.0,6.828712071641684,4.3694478524670215,1.0,0.0
BILLS-119hconres16ih,preamble,119,hconres,16,2025-02-27,349,7488615236a8a18c138d7b02e51893fc,0.10654,0.10654,1,347,0,2025-02,True,False,cc39b98fb587dd21885287d1,True,False,House,2025-02-27,Congress,B001296,D,PA,,28,14,13,6,0.5,0.4615384615384615,1.0,True,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,3,0.0,False,0.0,False,3,True,True,B001296,False,1977.0,49.0,M,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6544117647058824,1.0,0.2617647058823529,0.0,0.0,0.0,0.0,1.0,5.855071922202427,3.367295829986474,1.0,0.0
BILLS-119hconres18ih,preamble,119,hconres,18,2025-03-10,940,46cace3f277de01410e556e7f0dd4f8a,0.1711294594594594,0.26554,3,925,1,2025-03,True,False,12e24f34c6686db5ec042cf0,True,False,House,2025-03-10,Health,P000617,D,MA,,11,0,10,0,0.0,0.0,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,3,0.0,False,0.0,False,6,True,True,P000617,False,1974.0,52.0,F,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4548319327731092,1.0,0.1819327731092437,0.0,0.0,0.0,0.0,1.0,6.84587987526405,2.4849066497880004,1.0,0.0
BILLS-119hconres19ih,preamble,119,hconres,19,2025-03-11,512,6bf0df29614e61db44dbd340943bfdaf,0.1630360721442886,0.2315,2,499,0,2025-03,True,False,55bd41a962ca6cefb609ee83,True,False,House,2025-03-11,Government Operations and Politics,B001278,D,OR,,4,0,4,0,0.0,0.0,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,3,0.0,False,0.0,False,4,True,True,B001278,False,1954.0,72.0,F,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7943802521008403,1.0,0.3177521008403361,0.0,0.0,0.0,0.0,1.0,6.238324625039508,1.6094379124341005,1.0,0.0
BILLS-119hconres21ih,preamble,119,hconres,21,2025-03-25,1103,c9296c56656f3d72b22823d4a7422d05,0.138695933014354,0.22921,3,1045,0,2025-03,True,False,82de42c72e8d5a89a50df6ed,True,False,House,2025-03-25,Labor and Employment,F000462,D,FL,,132,0,126,0,0.0,0.0,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,3,0.0,False,0.0,False,4,True,True,F000462,False,1948.0,78.0,F,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7373949579831933,1.0,0.2949579831932773,0.0,0.0,0.0,0.0,1.0,7.005789019253503,4.890349128221754,1.0,0.0
BILLS-119hconres23ih,preamble,119,hconres,23,2025-03-31,669,76aaf5da4ccd595c6a877ed734d93288,0.191597049924357,0.24442,2,661,1,2025-03,True,False,65d9fa11ff5d1050659652e8,True,False,House,2025-03-31,"Civil Rights and Liberties, Minority Issues",J000305,D,CA,,70,0,70,0,0.0,0.0,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,3,0.0,False,0.0,False,4,True,True,J000305,False,1989.0,37.0,F,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345063025210084,1.0,0.1380252100840336,0.0,0.0,0.0,0.0,1.0,6.505784060128229,4.262679877041316,1.0,0.0
BILLS-119hconres25ih,preamble,119,hconres,25,2025-04-01,260,eebdc7a2ed98994937650236b2aae160,0.09534,0.09534,1,246,0,2025-04,True,False,b8a99290f27fa6e0c2b29f51,True,False,House,2025-04-01,Foreign Trade and International Finance,C001059,D,CA,,19,0,10,0,0.0,0.0,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,3,0.0,False,0.0,False,4,True,True,C001059,False,1952.0,74.0,M,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8771008403361344,1.0,0.3508403361344538,0.0,0.0,0.0,0.0,1.0,5.560681631015528,2.995732273553991,1.0,0.0
BILLS-119hconres28ih,findings,119,hconres,28,2025-04-14,100,ea2af8ffc2539d079b4a6b60a982f724,0.68993,0.68993,1,100,3,2025-04,True,False,213dec9c1c51e115cbe3e6c1,True,False,House,2025-04-14,Government Operations and Politics,R000305,D,NC,,2,0,2,0,0.0,0.0,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,3,0.0,False,0.0,False,4,True,True,R000305,False,1963.0,63.0,F,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345063025210084,1.0,0.1380252100840336,0.0,0.0,0.0,0.0,1.0,4.605170185988092,1.0986122886681098,1.0,1.0
BILLS-119hconres30ih,preamble,119,hconres,30,2025-05-06,167,6c66ab037d196d21e04308aad03c0c69,0.28834,0.28834,1,166,0,2025-05,True,False,b9907824fb15d9e67c1c4daf,True,False,House,2025-05-06,Crime and Law Enforcement,E000235,R,MS,,35,3,1,0,0.0857142857142857,0.0,1.0,False,False,True,False,False,False,2,False,True,False,False,False,2,R,1.0,3,0.6666666666666666,False,0.6666666666666666,False,15,True,True,E000235,False,1959.0,67.0,M,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203781512605042,1.0,0.3815126050420168,0.0,0.203781512605042,0.0,1.0,1.0,5.117993812416755,3.58351893845611,1.0,0.0
BILLS-119hconres31ih,preamble,119,hconres,31,2025-05-13,334,7162553f9182ca663e56271555603093,0.18354,0.18354,1,324,0,2025-05,True,False,28e75c61ce9cc1cb08153871,True,False,House,2025-05-13,Crime and Law Enforcement,E000235,R,MS,,12,1,11,1,0.0833333333333333,0.0909090909090909,1.0,True,False,False,False,False,False,0,False,False,False,False,False,0,R,1.0,3,0.0,False,0.0,False,4,True,True,E000235,False,1959.0,67.0,M,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203781512605042,1.0,0.3815126050420168,0.0,0.203781512605042,0.0,1.0,1.0,5.811140992976701,2.5649493574615367,1.0,0.0
BILLS-119hconres34ih,preamble,119,hconres,34,2025-05-29,267,85ffd10ae0d3eb42972441e270ddff4c,0.10424,0.10424,1,263,0,2025-05,True,False,ba79c688734562e9c3bc6986,True,False,House,2025-05-29,International Affairs,S001218,D,NM,,0,0,0,0,0.0,,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,3,0.0,False,0.0,False,4,True,False,S001218,False,1979.0,47.0,F,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345063025210084,1.0,0.1380252100840336,0.0,0.0,0.0,0.0,1.0,5.58724865840025,0.0,1.0,0.0
BILLS-119hconres36ih,preamble,119,hconres,36,2025-06-06,621,f54deb88b08410d97da9cea04bd31ca3,0.1512364169381107,0.15806,2,614,0,2025-06,True,False,1212bd17e747977243f734c8,True,False,House,2025-06-06,Government Operations and Politics,P000048,R,TX,,9,0,9,0,0.0,0.0,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,1.0,3,0.0,False,0.0,False,4,True,True,P000048,False,1978.0,48.0,M,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345063025210084,1.0,0.4380252100840336,0.0,0.345063025210084,0.0,1.0,1.0,6.431331081933479,2.302585092994046,1.0,0.0
BILLS-119hconres37ih,preamble,119,hconres,37,2025-06-12,1369,77cc3ef8774a6eaf8eb43abd0287cb71,0.209143949889462,0.3309,4,1357,1,2025-06,True,False,eca11e09c7c752ba88fc08e2,True,False,House,2025-06-12,"Civil Rights and Liberties, Minority Issues",C001130,D,TX,,51,0,39,0,0.0,0.0,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,3,0.0,False,0.0,False,4,True,False,C001130,False,1981.0,45.0,F,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203781512605042,1.0,0.0815126050420168,0.0,0.0,0.0,0.0,1.0,7.221835825288449,3.951243718581428,1.0,0.0
BILLS-119hconres38ih,findings,119,hconres,38,2025-06-17,112,58d0eacc5d2d9ebab75f2e1a8079bd92,0.0478,0.0478,1,108,0,2025-06,True,False,7b5f6b8e594f7eca7d82217b,True,False,House,2025-06-17,International Affairs,M001184,R,KY,,94,94,15,15,1.0,1.0,1.0,True,False,False,False,False,False,0,False,False,False,False,False,0,R,1.0,3,0.0,False,0.0,False,16,True,False,M001184,False,1971.0,55.0,M,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7943802521008403,1.0,0.6177521008403362,1.0,0.7943802521008403,0.0,1.0,1.0,4.718498871295094,4.553876891600541,1.0,0.0
BILLS-119hconres3ih,preamble,119,hconres,3,2025-01-13,378,65bcf57cfdbd1bf77f99c44a4f8a9653,0.09367,0.09367,1,350,0,2025-01,True,False,df81a0f1d2fcc62584d23810,True,False,House,2025-01-13,International Affairs,J000304,R,TX,,22,0,17,0,0.0,0.0,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,1.0,3,0.0,False,0.0,False,4,True,True,J000304,False,1967.0,59.0,M,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345063025210084,1.0,0.4380252100840336,0.0,0.345063025210084,0.0,1.0,1.0,5.934894195619588,3.1354942159291497,1.0,0.0
BILLS-119hconres42ih,preamble,119,hconres,42,2025-07-10,899,6fffff0d32fdea4fef1b4cf480d8d59b,0.1684173117033603,0.27294,3,863,1,2025-07,True,False,2bb156f27e3cf4c1f8b4418b,True,False,House,2025-07-10,Labor and Employment,A000370,D,NC,,75,0,70,0,0.0,0.0,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,3,0.0,False,0.0,False,4,True,True,A000370,False,1946.0,80.0,F,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7373949579831933,1.0,0.2949579831932773,0.0,0.0,0.0,0.0,1.0,6.80128303447162,4.330733340286331,1.0,0.0
