package_id,block_type,congress,bill_type,bill_num,action_date,n_words,text_sha,score,score_max,n_chunks,scored_words,top_bucket,month,post,pre,dup_group,is_first_appearance,recycled_from_pre,origin_chamber,introduced_date,policy_area,sponsor_bioguide,sponsor_party,sponsor_state,public_law_number,n_cosponsors,n_cosponsors_opposite,n_cosponsors_orig,n_cosponsors_opposite_orig,bipartisan_share,bipartisan_share_orig,is_bipartisan,is_bipartisan_orig,reported_all,passed_house_all,passed_senate_all,presented_all,became_law_all,max_stage_all,reported_12m,passed_house_12m,passed_senate_12m,presented_12m,became_law_12m,max_stage_12m,chamber_majority,sponsor_in_majority,max_stage_possible,stage_frac_all,succeeded_all,stage_frac_12m,succeeded_12m,n_actions,window_complete,commem,bioguide,freshman,birth_year,member_age,gender,n_terms,born_after_1980,topic_international_affairs,topic_health,topic_armed_forces_and_national_secu,topic_crime_and_law_enforcement,topic_government_operations_and_poli,topic_education,"topic_civil_rights_and_liberties,_mi",topic_public_lands_and_natural_resou,"topic_science,_technology,_communica",topic_immigration,topic_environmental_protection,topic_congress,topic_finance_and_financial_sector,topic_labor_and_employment,topic_transportation_and_public_work,sen_pct,is_house,office_capacity,high_capacity,senior_majority,is_freshman,is_republican,is_resolution,ln_words,ln_cosponsors,is_119,is_likely_ai
BILLS-118hconres101ih,preamble,118,hconres,101,2024-03-22,552,6f46f81bab1b800cc2f1f97a24e719e3,0.069194953271028,0.11338,2,535,0,2024-03,True,False,10cd0a60288871a05f7f0672,True,False,House,2024-03-22,"Civil Rights and Liberties, Minority Issues",H001081,D,CT,,27,0,16,0,0.0,0.0,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,3,0.0,False,0.0,False,14,True,True,H001081,False,1973.0,53.0,F,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3722397476340694,1.0,0.14889589905362777,0.0,0.0,0.0,0.0,1.0,6.313548046277095,3.332204510175204,0.0,0.0
BILLS-118hconres102ih,preamble,118,hconres,102,2024-03-29,714,3fe253d6826d0e70797675b1c02feb14,0.2458149999999999,0.29652,2,700,0,2024-03,True,False,f24b213144ec1110e1ea41b6,True,False,House,2024-03-29,"Civil Rights and Liberties, Minority Issues",J000305,D,CA,,54,0,54,0,0.0,0.0,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,3,0.0,False,0.0,False,4,True,True,J000305,False,1989.0,37.0,F,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23659305993690852,1.0,0.09463722397476342,0.0,0.0,0.0,0.0,1.0,6.570882962339584,4.007333185232471,0.0,0.0
BILLS-118hconres106ih,preamble,118,hconres,106,2024-05-06,175,1187137dfbb21445c29b5536fb1dd03f,0.30401,0.30401,1,174,0,2024-05,True,False,4d1312f2020a7632728b7475,True,False,House,2024-05-06,Crime and Law Enforcement,E000235,R,MS,,14,0,1,0,0.0,0.0,0.0,False,False,True,False,False,False,2,False,True,False,False,False,2,R,1.0,3,0.6666666666666666,False,0.6666666666666666,False,13,True,True,E000235,True,1959.0,67.0,M,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09103199639477241,1.0,0.33641279855790895,0.0,0.09103199639477241,1.0,1.0,1.0,5.1647859739235145,2.70805020110221,0.0,0.0
BILLS-118hconres107ih,preamble,118,hconres,107,2024-05-06,377,0f3971d028fa5d783645f3cf8a21e25a,0.0479399999999999,0.04794,1,350,0,2024-05,True,False,7fad8fe8a4dcdb12987fabb3,True,False,House,2024-05-06,"Arts, Culture, Religion",P000619,D,AK,,0,0,0,0,0.0,,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,3,0.0,False,0.0,False,4,True,True,P000619,False,1973.0,53.0,F,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09103199639477241,1.0,0.036412798557908965,0.0,0.0,0.0,0.0,1.0,5.932245187448011,0.0,0.0,0.0
BILLS-118hconres108ih,preamble,118,hconres,108,2024-05-23,150,533a4c3981bf6ac8a99c228a578e39cb,0.10375,0.10375,1,148,0,2024-05,True,False,5ee6a469581a4306791f1076,True,False,House,2024-05-23,Public Lands and Natural Resources,V000136,D,NM,,3,1,0,0,0.3333333333333333,,1.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,3,0.0,False,0.0,False,4,True,True,V000136,True,1984.0,42.0,M,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09103199639477241,1.0,0.036412798557908965,0.0,0.0,1.0,0.0,1.0,5.0106352940962555,1.3862943611198906,0.0,0.0
BILLS-118hconres113ih,preamble,118,hconres,113,2024-06-12,928,f7f4222a556d3517f67c85b5e4678f0d,0.162804317673378,0.26238,3,894,1,2024-06,True,False,c3f731fc0ae8a91c485281d5,True,False,House,2024-06-12,Government Operations and Politics,P000048,R,TX,,26,1,26,1,0.0384615384615384,0.0384615384615384,1.0,True,False,False,False,False,False,0,False,False,False,False,False,0,R,1.0,3,0.0,False,0.0,False,4,True,True,P000048,False,1978.0,48.0,M,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23659305993690852,1.0,0.3946372239747634,0.0,0.23659305993690852,0.0,1.0,1.0,6.833031732786201,3.295836866004329,0.0,0.0
BILLS-118hconres114ih,preamble,118,hconres,114,2024-06-18,303,1b4a9c282e9094ae25a3bfed6b18a08f,0.17945,0.17945,1,298,0,2024-06,True,False,18613de4aebf4f1fa2d68242,True,False,House,2024-06-18,International Affairs,H001058,R,MI,,9,0,5,0,0.0,0.0,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,1.0,3,0.0,False,0.0,False,4,True,True,H001058,False,1969.0,57.0,M,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7203695358269491,1.0,0.5881478143307797,0.0,0.7203695358269491,0.0,1.0,1.0,5.713732805509369,2.302585092994046,0.0,0.0
BILLS-118hconres115ih,preamble,118,hconres,115,2024-06-25,249,f7a69eb22e1af6a86425d4f420e4a119,0.10735,0.10735,1,247,0,2024-06,True,False,0a9daf6b89dfd072c70a1d15,True,False,House,2024-06-25,Congress,B001296,D,PA,,28,8,6,3,0.2857142857142857,0.5,1.0,True,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,3,0.0,False,0.0,False,4,True,True,B001296,False,1977.0,49.0,M,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5790896800360523,1.0,0.23163587201442093,0.0,0.0,0.0,0.0,1.0,5.517452896464707,3.367295829986474,0.0,0.0
BILLS-118hconres118ih,preamble,118,hconres,118,2024-07-09,852,3379198eaa81fd4f7c64b4c304611022,0.2181290464547677,0.27265,3,818,1,2024-07,True,False,eeee5e72ab262edf2d43e2d7,True,False,House,2024-07-09,Labor and Employment,A000370,D,NC,,63,0,20,0,0.0,0.0,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,3,0.0,False,0.0,False,4,True,True,A000370,False,1946.0,80.0,F,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6599819738621,1.0,0.26399278954484,0.0,0.0,0.0,0.0,1.0,6.747586526829315,4.1588830833596715,0.0,0.0
BILLS-118hconres119ih,preamble,118,hconres,119,2024-07-10,783,793fe33d796f935a3461691fb60057ec,0.3135175515463917,0.42064,3,776,1,2024-07,True,False,fdd7196803030edb600bbfa4,True,False,House,2024-07-10,Immigration,C001061,D,MO,,22,0,13,0,0.0,0.0,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,3,0.0,False,0.0,False,4,True,True,C001061,False,1944.0,82.0,M,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8280757097791798,1.0,0.3312302839116719,0.0,0.0,0.0,0.0,1.0,6.663132695990803,3.1354942159291497,0.0,1.0
