corpus,score_bin,n_sampled,pangram_ai_hits,empirical_rate,ci_95_low,ci_95_high
federal_bills,"[0.00, 0.20)",30,0,0.0,0.0,0.11570330822202779
federal_bills,"[0.20, 0.35)",80,4,0.05,0.013858980320492265,0.12372216776793721
federal_bills,"[0.35, 0.50)",146,18,0.1232876712328767,0.07510799082456288,0.1887877676131211
federal_bills,"[0.50, 0.65)",77,23,0.2987012987012987,0.20067479564522728,0.4158805096571996
federal_bills,"[0.65, 0.80)",30,21,0.7,0.5085850683385615,0.8570072323459499
federal_bills,"[0.80, 1.00]",17,12,0.7058823529411765,0.44263496413122994,0.9014377719336153
floor_speeches,"[0.00, 0.20)",40,0,0.0,0.0,0.08809730287880235
floor_speeches,"[0.20, 0.35)",110,7,0.06363636363636363,0.02609657330185655,0.12736806863858874
floor_speeches,"[0.35, 0.50)",174,57,0.3275862068965517,0.2597652531044332,0.40474731118456475
floor_speeches,"[0.50, 0.65)",58,34,0.5862068965517241,0.4515223319735924,0.7176787184430395
floor_speeches,"[0.65, 0.80)",34,18,0.5294117647058824,0.3530607879524723,0.7057859252404342
floor_speeches,"[0.80, 1.00]",36,32,0.8888888888888888,0.7430923398592313,0.9739047636389842
state_bills,"[0.00, 0.20)",50,0,0.0,0.0,0.07112173646419762
state_bills,"[0.20, 0.35)",140,6,0.04285714285714286,0.015967981177254842,0.09140728945340015
state_bills,"[0.35, 0.50)",175,21,0.12,0.07622029126059715,0.17846977118233553
state_bills,"[0.50, 0.65)",114,35,0.30701754385964913,0.2251645753235607,0.40235007192268313
state_bills,"[0.65, 0.80)",78,27,0.34615384615384615,0.24318418197026404,0.46476298411516836
state_bills,"[0.80, 1.00]",43,39,0.9069767441860465,0.7825393329808321,0.9791423534093155
crpt,"[0.00, 0.20)",30,0,0.0,0.0,0.11570330822202779
crpt,"[0.20, 0.35)",90,3,0.03333333333333333,0.006962570824271097,0.09481388515951039
crpt,"[0.35, 0.50)",78,7,0.08974358974358974,0.03703273321798406,0.1770963897265574
crpt,"[0.50, 0.65)",18,5,0.2777777777777778,0.09743831560672334,0.5375130346942569
crpt,"[0.65, 0.80)",15,9,0.6,0.32449687692451334,0.8408907936259311
crpt,"[0.80, 1.00]",12,9,0.75,0.43029860638989703,0.9499642303176188
