quarter,n_bills,pct_ai,ci_lo,ci_hi,ctrl_pct_ai,dem_pct_ai,dem_ci_lo,dem_ci_hi,rep_pct_ai,rep_ci_lo,rep_ci_hi
2023Q1,818,1.8168,3.9145,62.8282,0.3776,1.911,3.9487,66.2996,1.6925,3.8506,58.3045
2023Q2,861,2.3257,4.5793,61.4341,0.3705,2.1018,4.3817,64.1218,2.7148,4.9221,56.6169
2023Q3,637,2.3375,4.6722,63.6736,0.4505,2.4087,4.8763,65.3881,2.2325,4.3201,60.882
2023Q4,478,2.4957,5.4388,66.7307,0.4487,2.4289,5.5132,64.8742,2.5741,5.4402,69.2003
2024Q1,411,3.2889,6.5811,69.6113,0.3547,3.0206,5.7734,69.9019,3.6671,7.4406,69.086
2024Q2,534,2.5563,5.1834,68.3505,0.4533,2.7617,5.0916,69.2082,2.2586,5.1865,67.2619
2024Q3,492,2.8957,5.5968,68.7922,0.3619,2.3004,4.863,70.5506,3.9264,6.8491,65.9042
2024Q4,301,3.474,6.583,65.3301,0.4671,3.1625,6.0645,65.3583,4.3203,7.666,65.1044
2025Q1,804,3.3655,6.1045,62.1568,0.3492,3.0618,6.149,66.4559,3.6496,6.0554,57.8936
2025Q2,787,4.1422,7.2374,62.0492,0.4973,3.2786,6.5584,65.2004,5.2354,8.0736,58.3808
2025Q3,637,4.9592,9.0197,67.6149,0.5331,5.0153,9.1552,67.4654,4.9054,8.8244,67.9034
2025Q4,531,5.9067,9.6572,70.4448,0.5196,4.5959,7.9947,70.4412,8.0079,12.1844,71.113
2026Q1,498,5.1022,9.0499,68.3416,0.4731,4.3112,8.4647,65.9267,6.5201,10.1123,72.1154
2026Q2,685,6.3574,9.7157,68.0961,0.6468,6.1408,9.3266,68.4815,6.7534,10.3874,67.7908
