variable,coeff,se,p,r2,adj_r2,n,n_pos,outcome,model
intercept,0.150401,0.013235,0.0,0.0241,0.0221,2994,585,ai_c35,LPM
is_house,0.043977,0.016633,0.0082,0.0241,0.0221,2994,585,ai_c35,LPM
is_solo_sponsor,0.060048,0.022718,0.0082,0.0241,0.0221,2994,585,ai_c35,LPM
age_per_decade_younger,0.025372,0.007272,0.0005,0.0241,0.0221,2994,585,ai_c35,LPM
topic_crime_and_law_enforcement,0.111734,0.035372,0.0016,0.0241,0.0221,2994,585,ai_c35,LPM
topic_finance_and_financial_sector,0.118901,0.057496,0.0386,0.0241,0.0221,2994,585,ai_c35,LPM
topic_labor_and_employment,-0.115511,0.031797,0.0003,0.0241,0.0221,2994,585,ai_c35,LPM
intercept,0.032702,0.006855,0.0,0.029,0.027,2994,204,ai_c50,LPM
is_house,0.033858,0.009389,0.0003,0.029,0.027,2994,204,ai_c50,LPM
is_solo_sponsor,0.041437,0.015104,0.0061,0.029,0.027,2994,204,ai_c50,LPM
age_per_decade_younger,0.013824,0.004528,0.0023,0.029,0.027,2994,204,ai_c50,LPM
topic_crime_and_law_enforcement,0.09964,0.027772,0.0003,0.029,0.027,2994,204,ai_c50,LPM
topic_finance_and_financial_sector,0.093047,0.04266,0.0292,0.029,0.027,2994,204,ai_c50,LPM
topic_labor_and_employment,-0.055658,0.006141,0.0,0.029,0.027,2994,204,ai_c50,LPM
intercept,0.016308,0.00476,0.0006,0.0264,0.0244,2994,117,ai_c65,LPM
is_house,0.020336,0.00684,0.0029,0.0264,0.0244,2994,117,ai_c65,LPM
is_solo_sponsor,0.022748,0.01083,0.0357,0.0264,0.0244,2994,117,ai_c65,LPM
age_per_decade_younger,0.011479,0.00316,0.0003,0.0264,0.0244,2994,117,ai_c65,LPM
topic_crime_and_law_enforcement,0.079218,0.025367,0.0018,0.0264,0.0244,2994,117,ai_c65,LPM
topic_finance_and_financial_sector,0.078679,0.037199,0.0344,0.0264,0.0244,2994,117,ai_c65,LPM
topic_labor_and_employment,-0.028889,0.004168,0.0,0.0264,0.0244,2994,117,ai_c65,LPM
intercept,0.050082,0.003752,0.0,0.0386,0.0367,2994,211,p_ai,OLS
is_house,0.020207,0.005197,0.0001,0.0386,0.0367,2994,211,p_ai,OLS
is_solo_sponsor,0.018811,0.007636,0.0138,0.0386,0.0367,2994,211,p_ai,OLS
age_per_decade_younger,0.008917,0.00247,0.0003,0.0386,0.0367,2994,211,p_ai,OLS
topic_crime_and_law_enforcement,0.066708,0.016391,0.0,0.0386,0.0367,2994,211,p_ai,OLS
topic_finance_and_financial_sector,0.058875,0.026125,0.0242,0.0386,0.0367,2994,211,p_ai,OLS
topic_labor_and_employment,-0.034661,0.004761,0.0,0.0386,0.0367,2994,211,p_ai,OLS
